Name	Kingdom	Phylum	Class	Order	Family
Spotted Hyena	Animalia	Chordata	Mammalia	Carnivora	Hyaenidae
Woolly mammoth	Animalia	Chordata	Mammalia	Proboscidea	Elephantidae
Nine-banded armadillo	Animalia	Chordata	Mammalia	Cingulata	Dasypodidae
Donkey	Animalia	Chordata	Mammalia	Perissodactyla	Equidae
American bison	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae
Brown-throated sloth	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae
Dog	Animalia	Chordata	Mammalia	Carnivora	Canidae
Eastern grey kangaroo	Animalia	Chordata	Mammalia	Diprotodontia	Macropodidae
Goat	Animalia	Chordata	Mammalia	Artiodactyla	Bovidae
Little Owl	Animalia	Chordata	Aves	Strigiformes	Strigidae
Arctic hare	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae
European rabbit	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae
Roborovski hamster	Animalia	Chordata	Mammalia	Rodentia	Cricetidae
Common bottlenose dolphin	Animalia	Chordata	Mammalia	Cetacea	Delphinidae
Dodo	Animalia	Chordata	Aves	Columbiformes	Columbidae
Dugong	Animalia	Chordata	Mammalia	Sirenia	Dugongidae
Harbor seal	Animalia	Chordata	Mammalia	Carnivora	Phocidae
Weaver ant	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
Giraffe	Animalia	Chordata	Mammalia	Artiodactyla	Giraffidae
Koala	Animalia	Chordata	Mammalia	Diprotodontia	Phascolarctidae
Llama	Animalia	Chordata	Mammalia	Artiodactyla	Camelidae
Lion	Animalia	Chordata	Mammalia	Carnivora	Felidae
Narwhal	Animalia	Chordata	Mammalia	Cetacea	Monodontidae
Platypus	Animalia	Chordata	Mammalia	Monotremata	Ornithorhynchidae
Brown Bear	Animalia	Chordata	Mammalia	Carnivora	Ursidae
Hairy Hermit Crab	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae
Giant Panda	Animalia	Chordata	Mammalia	Carnivora	Ursidae
Black Rat	Animalia	Chordata	Mammalia	Rodentia	Muridae
Alligator	Animalia	Chordata	Reptilia	Crocodylia	Alligatoridae
Alligator snapping turtle	Animalia	Chordata	Reptilia	Testudines	Chelydridae
House Sparrow	Animalia	Chordata	Aves	Passeriformes	Passeridae
Mediterranean mussel	Animalia	Mollusca	Bivalvia	Mytiloida	Mytilidae
Pacific Gull	Animalia	Chordata	Aves	Charadriiformes	Laridae
Common Magpie	Animalia	Chordata	Aves	Passeriformes	Corvidae
Black Woodpecker	Animalia	Chordata	Aves	Piciformes	Picidae
Great White Pelican	Animalia	Chordata	Aves	Pelecaniformes	Pelecanidae
Boa constrictor	Animalia	Chordata	Reptilia	Squamata	Boidae
Chans megastick	Animalia	Arthropoda	Insecta	Phasmatodea	Phasmatidae
Golden Stag Beetle	Animalia	Arthropoda	Insecta	Coleoptera	Lucanidae
russet mite	Animalia	Arthropoda	Arachnida	Prostigmata	Eriophyidae
Firefly	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae
Ringlet Butterfly	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae
European wasp	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae
Ostrich	Animalia	Chordata	Aves	Struthioniformes	Struthionidae
Tarantula	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae
giant forest scorpions	Animalia	Arthropoda	Chelicerata	Scorpiones	Scorpionidae
Pterodactylus	Animalia	Chordata	Reptilia	†Pterosauria	†Pterodactylidae
Zebra	Animalia	Chordata	Mammalia	Perissodactyla	Equidae
African civet	Animalia	Chordata	Mammalia	Carnivora	Viverridae
Mink	Animalia	Chordata	Mammalia	Carnivora	Mustelidae
Cynoscion nebulosus	Animalia	Chordata	Actinopterygii	Perciformes	Sciaenidae
Walrus	Animalia	Chordata	Mammalia	Carnivora	Odobenidae
Tiger	Animalia	Chordata	Mammalia	Carnivora	Felidae
Tortoise	Animalia	Chordata	Reptilia	Chelonii	Testudinidae
Scorpionfish	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae
Hedgehog	Animalia	Chordata	Mammalia	Erinaceomorpha	Erinaceidae
Reindeer	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae
Lophius piscatorius	Animalia	Chordata	Actinopterygii	Lophiiformes	Lophiidae
Guinea pig	Animalia	Chordata	Mammalia	Rodentia	Caviidae
Penguin	Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae
Blowfish	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Tetraodontidae
Cockatoo	Animalia	Chordata	Aves	Psittaciformes	Cacatuidae
Leopard	Animalia	Chordata	Mammalia	Carnivora	Felidae
Killer whale	Animalia	Chordata	Mammalia	Cetacea	Delphinidae
Bowhead Whale	Animalia	Chordata	Mammalia	Cetacea	Balaenidae