Letter	Language	Frequency	Rank
a	English	0.08	3
b	English	0.01	other
c	English	0.03	other
d	English	0.04	other
e	English	0.13	1
f	English	0.02	other
g	English	0.02	other
h	English	0.06	other
i	English	0.07	other
j	English	0.00	other
k	English	0.01	other
l	English	0.04	other
m	English	0.02	other
n	English	0.07	other
o	English	0.08	other
p	English	0.02	other
q	English	0.00	other
r	English	0.06	other
s	English	0.06	other
t	English	0.09	2
u	English	0.03	other
v	English	0.01	other
w	English	0.02	other
x	English	0.00	other
y	English	0.02	other
z	English	0.00	other
a	German	0.07	other
b	German	0.02	other
c	German	0.03	other
d	German	0.05	other
e	German	0.16	1
f	German	0.02	other
g	German	0.03	other
h	German	0.05	other
i	German	0.07	other
j	German	0.00	other
k	German	0.01	other
l	German	0.03	other
m	German	0.03	other
n	German	0.10	2
o	German	0.03	other
p	German	0.01	other
q	German	0.00	other
r	German	0.07	other
s	German	0.07	3
t	German	0.06	other
u	German	0.04	other
v	German	0.01	other
w	German	0.02	other
x	German	0.00	other
y	German	0.00	other
z	German	0.01	other
a	Italian	0.12	2
b	Italian	0.01	other
c	Italian	0.05	other
d	Italian	0.04	other
e	Italian	0.12	1
f	Italian	0.01	other
g	Italian	0.02	other
h	Italian	0.01	other
i	Italian	0.10	3
j	Italian	0.00	other
k	Italian	0.00	other
l	Italian	0.07	other
m	Italian	0.03	other
n	Italian	0.07	other
o	Italian	0.10	other
p	Italian	0.03	other
q	Italian	0.01	other
r	Italian	0.06	other
s	Italian	0.05	other
t	Italian	0.06	other
u	Italian	0.03	other
v	Italian	0.02	other
w	Italian	0.00	other
x	Italian	0.00	other
y	Italian	0.00	other
z	Italian	0.01	other