Name	Begin	End	Role
Steve Harris	12/25/1975	1/1/2015	Bass
Paul Day	12/25/1975	7/1/1976	Vocals
Dennis Wilcock	7/2/1976	3/1/1978	Vocals
Paul Di'Anno	11/1/1978	10/1/1981	Vocals
Bruce Dickinson	10/1/1981	8/28/1993	Vocals
Blaze Bayley	1/1/1994	1/2/1999	Vocals
Bruce Dickinson	1/2/1999	1/1/2015	Vocals
Dave Sullivan	12/25/1975	12/1/1976	Guitars
Terry Rance	12/25/1975	12/1/1976	Guitars
Dave Murray	12/1/1976	6/1/1977	Guitars
Dave Murray	3/1/1978	1/1/2015	Guitars
Bob Sawyer	1/1/1977	6/1/1977	Guitars
Terry Wapram	7/1/1977	3/1/1978	Guitars
Paul Cairns	12/1/1978	3/1/1979	Guitars
Paul Todd	6/23/1979	6/30/1979	Guitars
Tony Parsons	9/1/1979	11/15/1979	Guitars
Dennis Stratton	12/20/1979	11/1/1980	Guitars
Adrian Smith	11/5/1980	1/1/1990	Guitars
Adrian Smith	2/1/1999	1/1/2015	Guitars
Janick Gers	2/1/1990	1/1/2015	Guitars
Ron Matthews	12/25/1975	6/1/1977	Drums
Thunderstick	9/1/1977	11/1/1977	Drums
Doug Sampson	12/1/1977	12/23/1979	Drums
Clive Burr	12/26/1979	11/1/1982	Drums
Nicko McBrain	12/1/1982	1/1/2015	Drums
Tony Moore	9/1/1977	11/1/1977	Keys