Politician	Start date	End date	Role
Alcide De Gasperi	1946-07-14	1947-02-02	Prime minister
Alcide De Gasperi	1947-02-02	1947-06-01	Prime minister
Alcide De Gasperi	1947-06-01	1948-05-24	Prime minister
Alcide De Gasperi	1948-05-24	1950-01-27	Prime minister
Alcide De Gasperi	1950-01-27	1951-07-26	Prime minister
Alcide De Gasperi	1951-07-26	1953-07-16	Prime minister
Alcide De Gasperi	1953-07-16	1953-08-17	Prime minister
Giuseppe Pella	1953-08-17	1954-01-18	Prime minister
Amintore Fanfani	1954-01-18	1954-02-10	Prime minister
Mario Scelba	1954-02-10	1955-07-06	Prime minister
Antonio Segni	1955-07-06	1957-05-19	Prime minister
Adone Zoli	1957-05-19	1958-07-01	Prime minister
Amintore Fanfani	1958-07-01	1959-02-15	Prime minister
Antonio Segni	1959-02-15	1960-03-25	Prime minister
Fernando Tambroni	1960-03-25	1960-07-26	Prime minister
Amintore Fanfani	1960-07-26	1962-02-21	Prime minister
Amintore Fanfani	1962-02-21	1963-06-21	Prime minister
Giovanni Leone	1963-06-21	1963-12-04	Prime minister
Aldo Moro	1963-12-04	1964-07-22	Prime minister
Aldo Moro	1964-07-22	1966-02-23	Prime minister
Aldo Moro	1966-02-23	1968-06-24	Prime minister
Giovanni Leone	1968-06-24	1968-12-12	Prime minister
Mariano Rumor	1968-12-12	1969-08-05	Prime minister
Mariano Rumor	1969-08-05	1970-03-27	Prime minister
Mariano Rumor	1970-03-27	1970-08-06	Prime minister
Emilio Colombo	1970-08-06	1972-02-17	Prime minister
Giulio Andreotti	1972-02-17	1973-06-26	Prime minister
Giulio Andreotti	1972-06-26	1973-07-07	Prime minister
Mariano Rumor	1973-07-07	1974-03-14	Prime minister
Mariano Rumor	1974-03-14	1974-11-23	Prime minister
Aldo Moro	1974-11-23	1976-02-12	Prime minister
Aldo Moro	1976-02-12	1976-07-29	Prime minister
Giulio Andreotti	1976-07-29	1978-03-11	Prime minister
Giulio Andreotti	1978-03-11	1979-03-20	Prime minister
Giulio Andreotti	1979-03-20	1979-08-04	Prime minister
Francesco Cossiga	1979-08-04	1980-04-04	Prime minister
Francesco Cossiga	1980-04-04	1980-10-18	Prime minister
Arnaldo Forlani	1980-10-18	1981-06-28	Prime minister
Giovanni Spadolini	1981-06-28	1982-08-23	Prime minister
Giovanni Spadolini	1982-08-23	1982-12-01	Prime minister
Amintore Fanfani	1982-12-01	1983-08-04	Prime minister
Bettino Craxi	1983-08-04	1986-08-01	Prime minister
Bettino Craxi	1986-08-01	1987-04-17	Prime minister
Amintore Fanfani	1987-04-17	1987-07-28	Prime minister
Giovanni Goria	1987-07-28	1988-04-13	Prime minister
Ciriaco De Mita	1988-04-13	1989-07-22	Prime minister
Giulio Andreotti	1989-07-22	1991-04-12	Prime minister
Giulio Andreotti	1991-04-12	1992-06-28	Prime minister
Giuliano Amato	1992-06-28	1993-04-28	Prime minister
Carlo Azeglio Ciampi	1993-04-28	1994-05-10	Prime minister
Silvio Berlusconi	1994-05-10	1995-01-17	Prime minister
Lamberto Dini	1995-01-17	1996-05-18	Prime minister
Romano Prodi	1996-05-17	1998-10-21	Prime minister
Massimo D'Alema	1998-10-21	1999-12-22	Prime minister
Massimo D'Alema	1999-12-22	2000-04-25	Prime minister
Giuliano Amato	2000-04-25	2001-06-11	Prime minister
Silvio Berlusconi	2001-06-11	2005-04-23	Prime minister
Silvio Berlusconi	2005-04-23	2006-05-17	Prime minister
Romano Prodi	2006-05-17	2008-05-08	Prime minister
Silvio Berlusconi	2008-05-08	2011-11-16	Prime minister
Mario Monti	2011-11-16	2013-04-28	Prime minister
Enrico Letta	2013-04-28	2014-02-21	Prime minister
Matteo Renzi	2014-02-22	2016-12-12	Prime minister
Paolo Gentiloni	2016-12-12	2018-06-01	Prime minister
Oscar Luigi Scalfaro	1992-05-28	1999-05-15	President
Giovanni Gronchi	1955-05-11	1962-05-11	President
Giuseppe Saragat	1964-12-29	1971-12-29	President
Antonio Segni	1962-05-11	1964-12-06	President
Giorgio Napolitano	2006-05-15	2015-01-14	President
Carlo Azeglio Ciampi	1999-05-18	2006-05-15	President
Giovanni Leone	1971-12-29	1978-06-15	President
Francesco Cossiga	1985-07-03	1992-04-28	President
Sandro Pertini	1978-07-09	1985-06-29	President
Luigi Einaudi	1948-05-12	1955-05-11	President
Enrico de Nicola	1948-01-01	1948-05-12	President