Action type	Shot type	Shot zone	Shot distance	X	Y	SHOT_MADE_FLAG
Pullup Jump shot	2PT Field Goal	Mid-Range	21	29	215	0
Jump Shot	3PT Field Goal	Above the Break 3	24	-69	237	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	112	229	1
Jump Shot	3PT Field Goal	Above the Break 3	24	17	247	1
Jump Shot	3PT Field Goal	Above the Break 3	24	96	230	0
Pullup Jump shot	2PT Field Goal	Restricted Area	1	2	17	0
Jump Shot	2PT Field Goal	Mid-Range	22	-192	109	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	24	131	207	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	24	222	113	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-88	244	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	8	-51	65	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-210	139	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-11	33	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-22	27	0
Running Layup Shot	2PT Field Goal	In The Paint (Non-RA)	9	38	88	1
Jump Shot	3PT Field Goal	Right Corner 3	23	227	41	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	0	10	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-117	231	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	-9	7	1
Jump Shot	2PT Field Goal	Mid-Range	21	130	173	1
Step Back Jump shot	2PT Field Goal	Mid-Range	19	93	171	0
Layup Shot	2PT Field Goal	Restricted Area	2	2	29	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	18	20	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	0	0	6	1
Jump Bank Shot	2PT Field Goal	Mid-Range	9	-87	36	0
Alley Oop Layup shot	2PT Field Goal	Restricted Area	1	1	14	1
Layup Shot	2PT Field Goal	Restricted Area	3	25	24	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-116	229	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	8	46	0
Putback Layup Shot	2PT Field Goal	Restricted Area	1	8	13	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	57	105	0
Jump Shot	3PT Field Goal	Left Corner 3	22	-222	41	0
Running Layup Shot	2PT Field Goal	Restricted Area	3	-13	33	1
Turnaround Bank Hook Shot	2PT Field Goal	Restricted Area	2	4	25	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	1	11	8	1
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	1	2	18	1
Jump Shot	2PT Field Goal	Mid-Range	20	143	152	1
Jump Shot	3PT Field Goal	Right Corner 3	24	227	78	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	-24	2	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-117	247	0
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	1	-16	10	1
Pullup Jump shot	2PT Field Goal	Mid-Range	21	-110	183	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-13	3	1
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	-6	57	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	0	6	-2	1
Layup Shot	2PT Field Goal	Restricted Area	3	-31	8	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	8	79	34	0
Layup Shot	2PT Field Goal	Restricted Area	2	-22	17	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	3	3	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-89	245	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-19	4	1
Alley Oop Dunk Shot	2PT Field Goal	Restricted Area	1	-3	14	1
Jump Shot	3PT Field Goal	Above the Break 3	24	217	114	0
Jump Shot	3PT Field Goal	Above the Break 3	30	-128	272	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-52	252	1
Jump Shot	3PT Field Goal	Above the Break 3	26	57	262	1
Jump Shot	3PT Field Goal	Above the Break 3	25	188	174	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	9	-34	89	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	21	12	1
Layup Shot	2PT Field Goal	Restricted Area	0	4	4	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-3	6	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	0	-9	1	1
Turnaround Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	10	116	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	12	-10	128	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	19	-199	4	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	21	-116	178	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-127	227	0
Turnaround Hook Shot	2PT Field Goal	In The Paint (Non-RA)	9	-45	84	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	5	-1	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	12	62	104	0
Tip Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	0
Layup Shot	2PT Field Goal	Restricted Area	0	-9	-1	0
Tip Layup Shot	2PT Field Goal	Restricted Area	1	-15	3	0
Tip Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Turnaround Hook Shot	2PT Field Goal	In The Paint (Non-RA)	10	54	90	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	2	12	26	0
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	10	23	105	1
Running Layup Shot	2PT Field Goal	Restricted Area	0	6	4	0
Jump Shot	3PT Field Goal	Above the Break 3	31	142	278	0
Running Reverse Layup Shot	2PT Field Goal	Restricted Area	1	0	14	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-81	256	0
Running Jump Shot	3PT Field Goal	Above the Break 3	28	-35	284	0
Alley Oop Layup shot	2PT Field Goal	Restricted Area	1	13	14	1
Jump Shot	3PT Field Goal	Above the Break 3	25	133	216	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	2	19	11	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	2	15	0
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	1	-6	14	1
Driving Bank Hook Shot	2PT Field Goal	In The Paint (Non-RA)	4	12	48	1
Driving Bank Hook Shot	2PT Field Goal	Restricted Area	2	7	19	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	28	-68	272	0
Running Jump Shot	3PT Field Goal	Above the Break 3	25	7	257	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-16	1	1
Running Dunk Shot	2PT Field Goal	Restricted Area	1	3	19	1
Jump Shot	2PT Field Goal	Mid-Range	19	-169	101	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	-66	260	1
Running Dunk Shot	2PT Field Goal	Restricted Area	2	-12	21	1
Jump Shot	3PT Field Goal	Above the Break 3	26	165	207	1
Jump Shot	3PT Field Goal	Above the Break 3	29	-100	273	1
Running Layup Shot	2PT Field Goal	Restricted Area	2	5	26	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	-33	260	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	16	-133	99	0
Jump Shot	3PT Field Goal	Above the Break 3	26	135	230	0
Hook Bank Shot	2PT Field Goal	In The Paint (Non-RA)	5	-38	44	0
Step Back Jump shot	2PT Field Goal	Mid-Range	21	-134	163	0
Fadeaway Jump Shot	2PT Field Goal	Restricted Area	2	19	22	1
Step Back Jump shot	3PT Field Goal	Right Corner 3	24	245	17	1
Jump Shot	3PT Field Goal	Above the Break 3	24	95	223	1
Jump Shot	3PT Field Goal	Above the Break 3	25	194	158	0
Jump Shot	3PT Field Goal	Above the Break 3	29	-13	298	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	2	-9	25	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	2	-9	18	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-161	214	0
Putback Dunk Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Pullup Jump shot	2PT Field Goal	Mid-Range	17	-74	154	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	11	10	1
Driving Layup Shot	2PT Field Goal	Restricted Area	3	0	32	0
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	1	5	14	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	8	-85	5	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	24	-74	231	1
Layup Shot	2PT Field Goal	Restricted Area	1	3	19	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	5	14	1
Jump Shot	3PT Field Goal	Above the Break 3	25	159	205	1
Jump Shot	3PT Field Goal	Above the Break 3	26	134	230	0
Jump Shot	3PT Field Goal	Above the Break 3	29	-70	284	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-15	15	1
Cutting Dunk Shot	2PT Field Goal	Restricted Area	0	5	1	1
Jump Shot	3PT Field Goal	Above the Break 3	25	213	134	0
Running Alley Oop Dunk Shot	2PT Field Goal	Restricted Area	0	1	8	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	24	-9	246	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	-2	26	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	6	3	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	0	-4	3	1
Jump Shot	3PT Field Goal	Right Corner 3	24	239	25	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	25	-152	204	0
Jump Shot	3PT Field Goal	Above the Break 3	25	95	237	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	-8	15	0
Jump Shot	3PT Field Goal	Above the Break 3	27	42	270	0
Jump Shot	3PT Field Goal	Above the Break 3	25	166	194	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	15	91	131	0
Running Layup Shot	2PT Field Goal	Restricted Area	0	9	-3	0
Turnaround Hook Shot	2PT Field Goal	Restricted Area	3	-38	-4	0
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	3	6	38	1
Jump Shot	3PT Field Goal	Above the Break 3	26	2	262	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-100	236	0
Running Layup Shot	2PT Field Goal	Restricted Area	3	-27	17	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	-1	2	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	6	16	1
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	36	29	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	-3	27	0
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-10	1	0
Jump Shot	3PT Field Goal	Above the Break 3	29	-84	282	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	2	7	29	1
Running Layup Shot	2PT Field Goal	Restricted Area	2	-3	21	1
Jump Shot	3PT Field Goal	Above the Break 3	26	145	221	1
Fadeaway Jump Shot	3PT Field Goal	Left Corner 3	23	-230	22	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	9	19	1
Jump Shot	3PT Field Goal	Above the Break 3	27	169	222	0
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	3	-17	29	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-177	191	0
Jump Shot	3PT Field Goal	Above the Break 3	27	-197	193	0
Layup Shot	2PT Field Goal	Restricted Area	1	-8	16	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-16	11	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-13	31	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	2	11	1
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	5	17	57	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	-141	219	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	27	107	257	1
Fadeaway Jump Shot	3PT Field Goal	Above the Break 3	26	180	201	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	11	-113	16	0
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	27	-35	268	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	12	-37	116	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-92	237	0
Layup Shot	2PT Field Goal	Restricted Area	2	-3	25	1
Jump Shot	2PT Field Goal	Mid-Range	18	165	84	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-8	11	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	1	0	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	-36	41	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	123	228	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	-6	18	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	3	-9	29	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	-14	13	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	11	22	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-176	202	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	-14	23	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	0	18	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	2	-11	20	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	9	-93	-8	1
Running Dunk Shot	2PT Field Goal	Restricted Area	1	2	13	1
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	6	64	7	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	0	-7	7	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	14	-133	47	1
Jump Shot	3PT Field Goal	Left Corner 3	22	-223	23	0
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	8	-1	86	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	19	28	0
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	27	-125	249	0
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	7	-9	76	0
Pullup Jump shot	2PT Field Goal	Mid-Range	19	162	104	0
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-5	14	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	9	8	1
Running Layup Shot	2PT Field Goal	Restricted Area	2	-2	27	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-6	14	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	2	20	15	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-120	222	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-165	200	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-90	242	0
Reverse Layup Shot	2PT Field Goal	Restricted Area	2	18	11	1
Cutting Dunk Shot	2PT Field Goal	Restricted Area	1	6	11	1
Pullup Jump shot	2PT Field Goal	In The Paint (Non-RA)	9	18	94	1
Pullup Jump shot	2PT Field Goal	Mid-Range	18	79	164	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-103	233	0
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-12	2	0
Running Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	-1	12	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-20	2	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-16	0	1
Layup Shot	2PT Field Goal	Restricted Area	0	4	-4	1
Dunk Shot	2PT Field Goal	Restricted Area	0	-3	2	1
Jump Shot	2PT Field Goal	Above the Break 3	23	-9	238	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-19	-1	0
Putback Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	11	6	1
Jump Shot	2PT Field Goal	Mid-Range	19	36	193	0
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	10	40	95	1
Running Reverse Dunk Shot	2PT Field Goal	Restricted Area	0	3	-4	1
Driving Finger Roll Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	-13	58	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	188	182	1
Layup Shot	2PT Field Goal	Restricted Area	1	6	10	1
Jump Shot	3PT Field Goal	Above the Break 3	24	61	240	0
Pullup Jump shot	2PT Field Goal	Mid-Range	18	-51	173	1
Pullup Jump shot	2PT Field Goal	Mid-Range	20	5	204	0
Fadeaway Jump Shot	3PT Field Goal	Above the Break 3	25	169	192	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	2	5	1
Alley Oop Dunk Shot	2PT Field Goal	Restricted Area	1	8	6	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	3	10	1
Pullup Jump shot	2PT Field Goal	Mid-Range	19	-74	183	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	-14	10	0
Jump Shot	3PT Field Goal	Above the Break 3	24	-134	208	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	20	11	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	23	1	0
Running Dunk Shot	2PT Field Goal	Restricted Area	0	2	9	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	19	-1	1
Jump Shot	3PT Field Goal	Left Corner 3	23	-226	59	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	-95	222	0
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	3	115	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	11	-119	6	1
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	69	10	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	10	-104	1	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	26	-177	194	0
Running Reverse Layup Shot	2PT Field Goal	Restricted Area	1	4	17	1
Pullup Jump shot	3PT Field Goal	Right Corner 3	22	222	54	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	-1	12	1
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	13	27	130	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	3	13	1
Cutting Dunk Shot	2PT Field Goal	Restricted Area	2	-8	21	1
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-8	38	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	3	-25	25	1
Jump Shot	2PT Field Goal	Mid-Range	20	-131	156	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-3	255	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	10	-106	24	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-147	206	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	-5	1	1
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	-8	116	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-134	214	0
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	18	5	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-199	160	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-3	-1	1
Turnaround Jump Shot	2PT Field Goal	Mid-Range	8	-85	1	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	16	-157	63	0
Jump Shot	2PT Field Goal	Mid-Range	22	-82	207	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-132	233	0
Jump Shot	2PT Field Goal	Mid-Range	21	93	190	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-23	10	0
Turnaround Jump Shot	2PT Field Goal	Mid-Range	17	26	174	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	35	20	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-25	29	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	3	4	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	13	-117	62	0
Jump Shot	2PT Field Goal	Mid-Range	21	-51	209	1
Jump Shot	3PT Field Goal	Above the Break 3	24	173	169	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-8	12	0
Jump Shot	2PT Field Goal	Mid-Range	21	75	201	0
Running Jump Shot	2PT Field Goal	Mid-Range	12	-93	84	0
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	4	41	18	0
Pullup Jump shot	2PT Field Goal	In The Paint (Non-RA)	9	64	68	0
Pullup Jump shot	2PT Field Goal	In The Paint (Non-RA)	14	53	137	0
Putback Layup Shot	2PT Field Goal	Restricted Area	0	-3	4	1
Layup Shot	2PT Field Goal	Restricted Area	1	11	2	0
Putback Layup Shot	2PT Field Goal	Restricted Area	1	-17	2	1
Running Dunk Shot	2PT Field Goal	Restricted Area	3	-7	32	1
Layup Shot	2PT Field Goal	Restricted Area	1	-9	15	0
Driving Hook Shot	2PT Field Goal	Restricted Area	3	-13	28	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-136	225	0
Jump Shot	3PT Field Goal	Left Corner 3	24	-240	-3	0
Pullup Jump shot	2PT Field Goal	Mid-Range	15	-18	157	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	-6	26	1
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	2	13	19	0
Hook Shot	2PT Field Goal	Restricted Area	3	-13	32	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-6	15	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-157	229	0
Turnaround Jump Shot	2PT Field Goal	In The Paint (Non-RA)	13	-63	120	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	0	-3	5	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	2	17	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-85	255	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	2	14	0
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	28	101	262	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-201	167	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-108	226	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	-2	10	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	12	20	0
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	-2	41	1
Pullup Jump shot	2PT Field Goal	Mid-Range	18	84	167	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	15	14	151	0
Jump Shot	3PT Field Goal	Above the Break 3	26	52	257	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	8	14	0
Layup Shot	2PT Field Goal	Restricted Area	2	20	17	0
Putback Layup Shot	2PT Field Goal	Restricted Area	3	19	30	0
Turnaround Jump Shot	2PT Field Goal	Mid-Range	15	-134	73	0
Turnaround Hook Shot	2PT Field Goal	Restricted Area	3	-24	24	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	95	235	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-73	254	1
Jump Shot	3PT Field Goal	Above the Break 3	24	177	167	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	0	-5	7	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	106	233	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	19	-54	185	0
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	-8	60	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	14	7	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-16	8	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-204	170	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	16	163	23	0
Jump Shot	3PT Field Goal	Above the Break 3	25	44	247	0
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	-31	115	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	19	11	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	18	10	1
Alley Oop Layup shot	2PT Field Goal	Restricted Area	2	13	21	1
Step Back Jump shot	2PT Field Goal	Mid-Range	20	150	138	1
Step Back Jump shot	2PT Field Goal	Mid-Range	21	11	211	1
Jump Shot	3PT Field Goal	Right Corner 3	23	235	46	0
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	2	-16	13	1
Running Dunk Shot	2PT Field Goal	Restricted Area	0	0	9	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-28	268	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	17	58	160	1
Layup Shot	2PT Field Goal	Restricted Area	1	-1	11	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-95	258	0
Turnaround Jump Shot	2PT Field Goal	Mid-Range	16	13	160	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-225	133	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	6	5	1
Jump Shot	3PT Field Goal	Above the Break 3	26	105	238	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	8	-82	31	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	17	-160	75	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	221	122	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	2	3	20	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-53	266	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	12	6	1
Cutting Dunk Shot	2PT Field Goal	Restricted Area	2	2	20	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	-2	0	1
Step Back Jump shot	2PT Field Goal	Mid-Range	21	143	164	0
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	54	4	0
Jump Shot	3PT Field Goal	Above the Break 3	26	82	248	0
Jump Shot	2PT Field Goal	Mid-Range	21	-24	210	1
Step Back Jump shot	2PT Field Goal	Mid-Range	21	-145	157	1
Jump Shot	3PT Field Goal	Above the Break 3	26	129	226	1
Step Back Jump shot	2PT Field Goal	Mid-Range	18	128	137	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-1	10	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	20	112	173	0
Jump Shot	3PT Field Goal	Above the Break 3	25	201	152	1
Jump Shot	2PT Field Goal	Mid-Range	17	-47	173	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	27	58	265	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	93	251	1