Letter	Language	Frequency (%)
a	Czech	8.42
e	Czech	7.56
o	Czech	6.7
n	Czech	6.47
i	Czech	6.07
t	Czech	5.73
v	Czech	5.34
s	Czech	5.21
r	Czech	4.8
l	Czech	3.8
d	Czech	3.48
k	Czech	2.89
m	Czech	2.45
u	Czech	2.16
p	Czech	1.91
z	Czech	1.5
j	Czech	1.43
h	Czech	1.36
y	Czech	1.04
b	Czech	0.82
c	Czech	0.74
g	Czech	0.09
f	Czech	0.08
x	Czech	0.03
w	Czech	0.02
q	Czech	0
e	Danish	15.45
r	Danish	8.96
n	Danish	7.24
t	Danish	6.86
a	Danish	6.03
i	Danish	6
d	Danish	5.86
s	Danish	5.81
l	Danish	5.23
o	Danish	4.64
g	Danish	4.08
k	Danish	3.4
m	Danish	3.24
f	Danish	2.41
v	Danish	2.33
b	Danish	2
u	Danish	1.98
p	Danish	1.76
h	Danish	1.62
j	Danish	0.73
y	Danish	0.7
c	Danish	0.57
w	Danish	0.07
x	Danish	0.03
z	Danish	0.03
q	Danish	0.01
e	Dutch	18.91
n	Dutch	10.03
a	Dutch	7.49
t	Dutch	6.79
i	Dutch	6.5
r	Dutch	6.41
o	Dutch	6.06
d	Dutch	5.93
s	Dutch	3.73
l	Dutch	3.57
g	Dutch	3.4
v	Dutch	2.85
h	Dutch	2.38
k	Dutch	2.25
m	Dutch	2.21
u	Dutch	1.99
b	Dutch	1.58
p	Dutch	1.57
w	Dutch	1.52
j	Dutch	1.46
z	Dutch	1.39
c	Dutch	1.24
f	Dutch	0.81
x	Dutch	0.04
y	Dutch	0.04
q	Dutch	0.01
e	English	12.7
t	English	9.06
a	English	8.17
o	English	7.51
i	English	6.97
n	English	6.75
s	English	6.33
h	English	6.09
r	English	5.99
d	English	4.25
l	English	4.03
c	English	2.78
u	English	2.76
m	English	2.41
w	English	2.36
f	English	2.23
g	English	2.02
y	English	1.97
p	English	1.93
b	English	1.49
v	English	0.98
k	English	0.77
j	English	0.15
x	English	0.15
q	English	0.1
z	English	0.07
a	Esperanto	12.12
i	Esperanto	10.01
e	Esperanto	9
o	Esperanto	8.78
n	Esperanto	7.96
l	Esperanto	6.1
s	Esperanto	6.09
r	Esperanto	5.91
t	Esperanto	5.28
k	Esperanto	4.16
j	Esperanto	3.5
u	Esperanto	3.18
d	Esperanto	3.04
m	Esperanto	2.99
p	Esperanto	2.76
v	Esperanto	1.9
g	Esperanto	1.17
f	Esperanto	1.04
b	Esperanto	0.98
c	Esperanto	0.78
z	Esperanto	0.49
h	Esperanto	0.38
q	Esperanto	0
w	Esperanto	0
x	Esperanto	0
y	Esperanto	0
a	Finnish	12.22
i	Finnish	10.82
n	Finnish	8.83
t	Finnish	8.75
e	Finnish	7.97
s	Finnish	7.86
l	Finnish	5.76
o	Finnish	5.61
u	Finnish	5.01
k	Finnish	4.97
m	Finnish	3.2
r	Finnish	2.87
v	Finnish	2.25
j	Finnish	2.04
h	Finnish	1.85
p	Finnish	1.84
y	Finnish	1.75
d	Finnish	1.04
g	Finnish	0.39
b	Finnish	0.28
c	Finnish	0.28
f	Finnish	0.19
w	Finnish	0.09
z	Finnish	0.05
x	Finnish	0.03
q	Finnish	0.01
e	French	14.72
s	French	7.95
a	French	7.64
i	French	7.53
t	French	7.24
n	French	7.1
r	French	6.69
u	French	6.31
o	French	5.8
l	French	5.46
d	French	3.67
c	French	3.26
m	French	2.97
p	French	2.52
v	French	1.84
q	French	1.36
f	French	1.07
b	French	0.90
g	French	0.87
h	French	0.74
j	French	0.61
x	French	0.43
z	French	0.33
y	French	0.13
k	French	0.07
w	French	0.05
e	German	16.4
n	German	9.78
s	German	7.27
r	German	7
i	German	6.55
a	German	6.52
t	German	6.15
d	German	5.08
h	German	4.58
u	German	4.17
l	German	3.44
g	German	3.01
c	German	2.73
o	German	2.59
m	German	2.53
w	German	1.92
b	German	1.89
f	German	1.66
k	German	1.42
z	German	1.13
v	German	0.85
p	German	0.67
j	German	0.27
y	German	0.04
x	German	0.03
q	German	0.02
a	Icelandic	10.11
r	Icelandic	8.58
n	Icelandic	7.71
i	Icelandic	7.58
e	Icelandic	6.42
s	Icelandic	5.63
t	Icelandic	4.95
u	Icelandic	4.56
l	Icelandic	4.53
g	Icelandic	4.24
m	Icelandic	4.04
k	Icelandic	3.31
f	Icelandic	3.01
v	Icelandic	2.44
o	Icelandic	2.17
h	Icelandic	1.87
d	Icelandic	1.58
j	Icelandic	1.14
b	Icelandic	1.04
y	Icelandic	0.9
p	Icelandic	0.79
x	Icelandic	0.05
c	Icelandic	0
q	Icelandic	0
w	Icelandic	0
z	Icelandic	0
e	Italian	11.79
a	Italian	11.75
i	Italian	10.14
o	Italian	9.83
n	Italian	6.88
l	Italian	6.51
r	Italian	6.37
t	Italian	5.62
s	Italian	4.98
c	Italian	4.5
d	Italian	3.74
p	Italian	3.06
u	Italian	3.01
m	Italian	2.51
v	Italian	2.1
g	Italian	1.64
z	Italian	1.18
f	Italian	1.15
b	Italian	0.93
h	Italian	0.64
q	Italian	0.51
w	Italian	0.03
y	Italian	0.02
j	Italian	0.01
k	Italian	0.01
x	Italian	0
a	Polish	8.91
i	Polish	8.21
o	Polish	7.75
e	Polish	7.66
z	Polish	5.64
n	Polish	5.52
r	Polish	4.69
w	Polish	4.65
s	Polish	4.32
t	Polish	3.98
c	Polish	3.96
y	Polish	3.76
k	Polish	3.51
d	Polish	3.25
p	Polish	3.13
m	Polish	2.8
u	Polish	2.5
j	Polish	2.28
l	Polish	2.1
b	Polish	1.47
g	Polish	1.42
h	Polish	1.08
f	Polish	0.3
q	Polish	0.14
v	Polish	0.04
x	Polish	0.02
a	Portuguese	14.63
e	Portuguese	12.57
o	Portuguese	9.74
s	Portuguese	6.81
r	Portuguese	6.53
i	Portuguese	6.19
d	Portuguese	4.99
m	Portuguese	4.74
n	Portuguese	4.45
t	Portuguese	4.34
c	Portuguese	3.88
u	Portuguese	3.64
l	Portuguese	2.78
p	Portuguese	2.52
v	Portuguese	1.58
g	Portuguese	1.3
q	Portuguese	1.2
b	Portuguese	1.04
f	Portuguese	1.02
h	Portuguese	0.78
z	Portuguese	0.47
j	Portuguese	0.4
x	Portuguese	0.25
w	Portuguese	0.04
k	Portuguese	0.02
y	Portuguese	0.01
e	Spanish	12.18
a	Spanish	11.53
o	Spanish	8.68
s	Spanish	7.98
r	Spanish	6.87
n	Spanish	6.71
i	Spanish	6.25
d	Spanish	5.01
l	Spanish	4.97
t	Spanish	4.63
c	Spanish	4.02
m	Spanish	3.16
u	Spanish	2.93
p	Spanish	2.51
b	Spanish	2.22
g	Spanish	1.77
v	Spanish	1.14
y	Spanish	1.01
q	Spanish	0.88
h	Spanish	0.7
f	Spanish	0.69
j	Spanish	0.49
z	Spanish	0.47
x	Spanish	0.22
w	Spanish	0.02
k	Spanish	0.01
e	Swedish	10.15
a	Swedish	9.38
n	Swedish	8.54
r	Swedish	8.43
t	Swedish	7.69
s	Swedish	6.59
i	Swedish	5.82
l	Swedish	5.28
d	Swedish	4.7
o	Swedish	4.48
m	Swedish	3.47
k	Swedish	3.14
g	Swedish	2.86
v	Swedish	2.42
h	Swedish	2.09
f	Swedish	2.03
u	Swedish	1.92
p	Swedish	1.84
b	Swedish	1.54
c	Swedish	1.49
y	Swedish	0.71
j	Swedish	0.61
x	Swedish	0.16
w	Swedish	0.14
z	Swedish	0.07
q	Swedish	0.02
a	Turkish	11.92
e	Turkish	8.91
i	Turkish	8.6
n	Turkish	7.49
r	Turkish	6.72
l	Turkish	5.92
d	Turkish	4.71
k	Turkish	4.68
m	Turkish	3.75
y	Turkish	3.34
t	Turkish	3.31
u	Turkish	3.24
s	Turkish	3.01
b	Turkish	2.84
o	Turkish	2.48
z	Turkish	1.5
g	Turkish	1.25
h	Turkish	1.21
c	Turkish	0.96
v	Turkish	0.96
p	Turkish	0.89
f	Turkish	0.46
j	Turkish	0.03
q	Turkish	0
w	Turkish	0
x	Turkish	0